메뉴명,대분류,중분류,내용량,주성분,원재료명 및 함량,알러지 주의,나트륨,탄수화물,당류,지방,트랜스지방,포화지방,콜레스테롤,단백질,영양성분 기준치 대비 나트륨,영양성분 기준치 대비 탄수화물,영양성분 기준치 대비 당류,영양성분 기준치 대비 지방,영양성분 기준치 대비 트랜스지방,영양성분 기준치 대비 포화지방,영양성분 기준치 대비 콜레스테롤,영양성분 기준치 대비 단백질,식품의 유형,생산자 및 소재지,메뉴구성,식이섬유,영양성분 기준치 대비 식이섬유
로스팅 버섯 강된장,도시락/덮밥,300라이스Meal,"총 내용량 217g, 245kcal","과채가공품10.52%(새송이버섯39.2%,양송이버섯19.6%,포토벨로버섯19.6,만가닥버섯19.6),소스1 4.15%(된장35%)","원재료명 및 함량 : 곡류(국산/발아현미,찰현미),과채가공품(중국산/새송이버섯,양송이버섯,포토벨로버섯,만가닥버섯,정제염),가공두부[가공두부{대두(국산)},대두유{대두(외국산:미국,브라질,파라과이 등)}],감자,애호박,프레스햄,양파,소스1,참기름,볶음참깨,홍고추,소스2,대두유,소스3,정제수
[대두,밀,돼지고기,쇠고기,조개류(굴,바지락) 함유]
*이 제품은 알류(계란),우유,메밀,땅콩,고등어,게,새우,복숭아,토마토,아황산류,호두,닭고기,오징어,조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[대두,밀,돼지고기,쇠고기,조개류(굴,바지락) 함유]",230mg,35g,6g,3g,0g,0g,0mg,19g,12%,11%,6%,6%,-%,0%,0%,35%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,"5가지 버섯을 바싹 구워 올린 버섯발아현미밥을 채소,두부를 듬뿍넣은 강된장에 비벼먹는 메뉴",,
불닭 곤약 고구마 밥,도시락/덮밥,300라이스Meal,"총 내용량 227g, 275kcal","양념육26.65%(닭고기63.33%),고구마17.62%,숙면7.95%(곤약분 3%)","원재료명 및 함량 : 양념육[닭고기(국산),소스{토마토케찹(토마토페이스트/외국산)},기타주류,물엿,설탕],고구마(인도네시아산),찰보리(국산),두류가공품(렌즈콩,정제소금),숙면(순두부,곤약분,수산화칼슘),총알새송이버섯,양배추,양파,대두유,소스,과채가공품,풋고추,참기름,정제수
[알류(계란),우유,대두,밀,토마토,닭고기,쇠고기,조개류(굴) 함유]
*이 제품은 메밀,땅콩,고등어,게,새우,돼지고기,복숭아,아황산류, 호두,오징어,조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란),우유,대두,밀,토마토,닭고기,쇠고기,조개류(굴) 함유]",450mg,45g,13g,2g,0g,0g,0mg,19g,23%,14%,13%,4%,-%,0%,0%,35%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,"매콤하게 구운 닭안심구이에 두부곤약면과 채소구이, 새송이버섯을 넣어, 고구마다이스 찰보리와 렌틸콩 밥과 함께 즐기는 메뉴",,
새우 라따뚜이 덮밥,도시락/덮밥,300라이스Meal,"총 내용량 206g, 233kcal",새우7.77%,"원재료명 및 함량 : 아라비아따스파게티소스[다이스토마토(미국산),볶음야채(양파/국산),토마토페이스트,설탕,대두유],과채가공품1(프랑스산/호박,가지,홍피망,해바라기유),귀리(캐나다산),옥수수,새우(베트남산),과채가공품2,두류가공품1,두류가공품2,청피망,양파,대두유,정제수
[우유,대두,밀,새우,토마토,닭고기,쇠고기,조개류(굴) 함유]
*이 제품은 알류(계란),메밀,땅콩,고등어,게,돼지고기,복숭아,아황산류,호두,오징어,조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유,대두,밀,새우,토마토,닭고기,쇠고기,조개류(굴) 함유]",643mg,39g,6g,3.1g,0g,1g,25mg,12g,32%,12%,6%,6%,-%,7%,8%,22%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,토마토소스에 드라이토마토를 올리고 지중해풍 채소와 새우를 더한 덮밥소스를 귀리옥수수병아리콩밥과 함께 즐기는 메뉴,,
소이짜장스크램블밥,도시락/덮밥,300라이스Meal,"총 내용량 220g, 290kcal","알가열제품13.64%,소스1 12.46%(춘장10%),즉석조리식품4.15%[두류가공품20%(분리대두단백70%)]","원재료명 및 함량 : 곡류(국산/발아현미,찰현미),알가열제품[계란(국산),식물성유지{대두유:외국산(미국,아르헨티나,중국 등)},변성전분, 설탕, 혼합분유],소스1[춘장{소맥분(밀:미국산,호주산)},갈색설탕,혼합제제(변성전분,말토덱스트린),양조간장(탈지대두:외국산),조미돈지-P],양파,애호박,양배추,즉석조리식품,콩기름,대파,풋고추,소스2,정제수
[알류(계란),대두,우유,밀,닭고기, 쇠고기,조개류(굴)함유]
*이 제품은 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 오징어, 조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란),대두,우유,밀,닭고기, 쇠고기,조개류(굴)함유]",510mg,46g,8g,8g,0g,1.3g,60mg,9g,26%,14%,8%,15%,-%,9%,20%,16%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,직화짜장소스에 숯불소이불고기민찌와 채소를 듬뿍넣은 채소짜장을 에그스크램블을 올린 발아현미밥과 함께 즐기는 메뉴,,
숯불 소이 파프리카 덮밥,도시락/덮밥,300라이스Meal,"총 내용량 226g, 350kcal","즉석조리식품18.52%[두류가공품20%(분리대두단백70%)],황파프리카4.42%,홍파프리카4.42%","원재료명 및 함량 : 즉석조리식품[소스{양조간장(탈지대두<외국산:인도,미국,중국 등>)},두류가공품(대만산),대두유],쌀(국산),총알새송이버섯(국산),양파,황파프리카(국산),홍파프리카(국산),청피망,두부,대두유,소스1,과채가공품,소스2,소스3,참기름,고춧가루,정제수
[우유,대두,밀,아황산류,닭고기 함유]
*이 제품은 알류(계란),메밀,땅콩,고등어,게,새우,돼지고기,복숭아,토마토,호두,쇠고기,오징어,조개류(굴·전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유,대두,밀,아황산류,닭고기 함유]",430mg,43g,12g,12g,0g,2.3g,0mg,17g,22%,13%,12%,22%,-%,15%,0%,31%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,숯불소이불고기에 특제소스를 더해 맛을 살리고 3가지 색의 파프리카와 새송이버섯을 더해 시각적인 즐거움과 영양을 더한 메뉴,,
로스팅 버섯 강된장,도시락/덮밥,300라이스Meal+밸런스쉐이크,"총 내용량 217g, 245kcal","과채가공품10.52%(새송이버섯39.2%,양송이버섯19.6%,포토벨로버섯19.6,만가닥버섯19.6),소스1 4.15%(된장35%)","원재료명 및 함량 : 곡류(국산/발아현미,찰현미),과채가공품(중국산/새송이버섯,양송이버섯,포토벨로버섯,만가닥버섯,정제염),가공두부[가공두부{대두(국산)},대두유{대두(외국산:미국,브라질,파라과이 등)}],감자,애호박,프레스햄,양파,소스1,참기름,볶음참깨,홍고추,소스2,대두유,소스3,정제수
[대두,밀,돼지고기,쇠고기,조개류(굴,바지락) 함유]
*이 제품은 알류(계란),우유,메밀,땅콩,고등어,게,새우,복숭아,토마토,아황산류,호두,닭고기,오징어,조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[대두,밀,돼지고기,쇠고기,조개류(굴,바지락) 함유]",230mg,35g,6g,3g,0g,0g,0mg,19g,12%,11%,6%,6%,-%,0%,0%,35%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,"5가지 버섯을 바싹 구워 올린 버섯발아현미밥을 채소,두부를 듬뿍넣은 강된장에 비벼먹는 메뉴",,
불닭 곤약 고구마 밥,도시락/덮밥,300라이스Meal+밸런스쉐이크,"총 내용량 227g, 275kcal","양념육26.65%(닭고기63.33%),고구마17.62%,숙면7.95%(곤약분 3%)","원재료명 및 함량 : 양념육[닭고기(국산),소스{토마토케찹(토마토페이스트/외국산)},기타주류,물엿,설탕],고구마(인도네시아산),찰보리(국산),두류가공품(렌즈콩,정제소금),숙면(순두부,곤약분,수산화칼슘),총알새송이버섯,양배추,양파,대두유,소스,과채가공품,풋고추,참기름,정제수
[알류(계란),우유,대두,밀,토마토,닭고기,쇠고기,조개류(굴) 함유]
*이 제품은 메밀,땅콩,고등어,게,새우,돼지고기,복숭아,아황산류, 호두,오징어,조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란),우유,대두,밀,토마토,닭고기,쇠고기,조개류(굴) 함유]",450mg,45g,13g,2g,0g,0g,0mg,19g,23%,14%,13%,4%,-%,0%,0%,35%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,"매콤하게 구운 닭안심구이에 두부곤약면과 채소구이, 새송이버섯을 넣어, 고구마다이스 찰보리와 렌틸콩 밥과 함께 즐기는 메뉴",,
새우 라따뚜이 덮밥,도시락/덮밥,300라이스Meal+밸런스쉐이크,"총 내용량 206g, 233kcal",새우7.77%,"원재료명 및 함량 : 아라비아따스파게티소스[다이스토마토(미국산),볶음야채(양파/국산),토마토페이스트,설탕,대두유],과채가공품1(프랑스산/호박,가지,홍피망,해바라기유),귀리(캐나다산),옥수수,새우(베트남산),과채가공품2,두류가공품1,두류가공품2,청피망,양파,대두유,정제수
[우유,대두,밀,새우,토마토,닭고기,쇠고기,조개류(굴) 함유]
*이 제품은 알류(계란),메밀,땅콩,고등어,게,돼지고기,복숭아,아황산류,호두,오징어,조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유,대두,밀,새우,토마토,닭고기,쇠고기,조개류(굴) 함유]",643mg,39g,6g,3.1g,0g,1g,25mg,12g,32%,12%,6%,6%,-%,7%,8%,22%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,토마토소스에 드라이토마토를 올리고 지중해풍 채소와 새우를 더한 덮밥소스를 귀리옥수수병아리콩밥과 함께 즐기는 메뉴,,
소이짜장스크램블밥,도시락/덮밥,300라이스Meal+밸런스쉐이크,"총 내용량 220g, 290kcal","알가열제품13.64%,소스1 12.46%(춘장10%),즉석조리식품4.15%[두류가공품20%(분리대두단백70%)]","원재료명 및 함량 : 곡류(국산/발아현미,찰현미),알가열제품[계란(국산),식물성유지{대두유:외국산(미국,아르헨티나,중국 등)},변성전분, 설탕, 혼합분유],소스1[춘장{소맥분(밀:미국산,호주산)},갈색설탕,혼합제제(변성전분,말토덱스트린),양조간장(탈지대두:외국산),조미돈지-P],양파,애호박,양배추,즉석조리식품,콩기름,대파,풋고추,소스2,정제수
[알류(계란),대두,우유,밀,닭고기, 쇠고기,조개류(굴)함유]
*이 제품은 메밀, 땅콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 오징어, 조개류(전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[알류(계란),대두,우유,밀,닭고기, 쇠고기,조개류(굴)함유]",510mg,46g,8g,8g,0g,1.3g,60mg,9g,26%,14%,8%,15%,-%,9%,20%,16%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,직화짜장소스에 숯불소이불고기민찌와 채소를 듬뿍넣은 채소짜장을 에그스크램블을 올린 발아현미밥과 함께 즐기는 메뉴,,
숯불 소이 파프리카 덮밥,도시락/덮밥,300라이스Meal+밸런스쉐이크,"총 내용량 226g, 350kcal","즉석조리식품18.52%[두류가공품20%(분리대두단백70%)],황파프리카4.42%,홍파프리카4.42%","원재료명 및 함량 : 즉석조리식품[소스{양조간장(탈지대두<외국산:인도,미국,중국 등>)},두류가공품(대만산),대두유],쌀(국산),총알새송이버섯(국산),양파,황파프리카(국산),홍파프리카(국산),청피망,두부,대두유,소스1,과채가공품,소스2,소스3,참기름,고춧가루,정제수
[우유,대두,밀,아황산류,닭고기 함유]
*이 제품은 알류(계란),메밀,땅콩,고등어,게,새우,돼지고기,복숭아,토마토,호두,쇠고기,오징어,조개류(굴·전복·홍합 포함),잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","[우유,대두,밀,아황산류,닭고기 함유]",430mg,43g,12g,12g,0g,2.3g,0mg,17g,22%,13%,12%,22%,-%,15%,0%,31%,즉석섭취식품,*제조원 : ㈜우리델리카/충청북도 진천군 덕산읍 신척산단 4로 6 *유통전문판매원 : 풀무원식품(주) / 충북 음성군 대소면 삼양로 730-27,숯불소이불고기에 특제소스를 더해 맛을 살리고 3가지 색의 파프리카와 새송이버섯을 더해 시각적인 즐거움과 영양을 더한 메뉴,,
